category,sub_scenario,description,example_situation,typical_question,strong_hire_example
failure,wrong_technical_decision,"Chose an architecture, technology, or approach that turned out to be wrong. Required revisiting the decision and potentially significant rework.","I championed using a NoSQL database for its flexibility. 6 months later we hit query limitations and had to migrate to PostgreSQL, costing 3 months of engineering time.","Tell me about a time you made a wrong technical decision.","Situation: I chose to build WhatsApp's internal analytics pipeline using a trendy stream processing framework because I was excited about the technology and it had impressive benchmarks. Eight months later, we had constant stability issues, poor documentation, and I was the only person who could debug it. I'd prioritized interesting technology over boring-but-reliable alternatives.

Task: I needed to acknowledge the mistake, propose a path forward that didn't waste the 8 months invested, and prevent similar decisions in the future.

Action: I wrote a technical decision review document acknowledging the choice was wrong and why - I'd optimized for technical elegance over operational simplicity. I quantified the costs: 4 hours/week of my time debugging, team reluctant to modify the pipeline, blocked hiring because candidates didn't know this niche framework. I proposed migration to Kafka + Flink (industry standard), with an incremental plan to migrate while keeping the pipeline running. I committed to leading the migration myself since it was my mistake to fix. I also proposed a new 'technology decision checklist' including 'who else can maintain this?' and 'what's the hiring pool?'

Result: Migration took 5 months alongside regular work. Within a month of completion, 4 engineers could debug and modify the pipeline. On-call pages dropped 80%. We hired 2 engineers who specifically mentioned the modern, standard stack. The technology decision checklist was adopted org-wide after I presented the case study to WhatsApp engineering leadership."
failure,miscommunication,"Failed to communicate clearly with stakeholders, teammates, or other teams, leading to wasted work, misaligned expectations, or conflict.","I assumed PM wanted the feature to work one way based on a brief conversation. Built it over 2 weeks, then learned it was completely wrong. Had to rebuild from scratch.","Tell me about a time miscommunication caused problems.","Situation: I told the Oculus partnerships team their SDK integration would be 'done by end of quarter.' I meant code complete and in internal testing. They heard it would be available to developers. They announced the SDK at a developer conference. When it wasn't publicly available by their expected date, they were embarrassed in front of their developer community.

Task: I needed to repair the relationship, deliver as fast as possible, and fix my communication practices permanently.

Action: I called their lead immediately - not Slack, not email - and apologized without excuses. I explained the disconnect and committed to public availability within 2 weeks. I personally worked through 3 weekends to expedite our security review and documentation. After things stabilized, I proposed a new practice: for any cross-team commitment, we explicitly specify 'code complete,' 'internal testing,' 'external beta,' or 'GA' with dates for each milestone. I documented this in a one-pager and shared with all teams I work with.

Result: SDK went public in 11 days. Partnerships relationship recovered - their lead said 'the response to the problem mattered more than the problem.' The explicit milestone practice was adopted across all of Reality Labs engineering after I presented at an engineering leads meeting. I now have a personal rule: any date commitment gets a written follow-up specifying exactly what 'done' means at each stage."
failure,underestimation,"Significantly underestimated the complexity, scope, dependencies, or timeline of a project. Led to missed commitments or scrambling to deliver.","I told the PM it would take 2 weeks based on my initial assessment. Didn't account for legacy system integration. Actually took 2 months.","Tell me about a time you underestimated a project.","Situation: I estimated 3 weeks to add GDPR data export functionality to Facebook - 'just a database query and download UI.' It actually took 10 weeks because I'd ignored data scattered across 14 services, PII redaction requirements for different data types, legal review of export formats for each EU country, and load testing for potentially millions of simultaneous requests.

Task: I needed to understand why my estimate was so catastrophically wrong and build better practices.

Action: After delivery, I did a detailed estimation post-mortem. I'd estimated the happy path only. I created a checklist for future estimates: 1) Map ALL data sources involved, 2) Identify compliance/legal touchpoints, 3) List every team that needs to review, 4) Consider scale/load implications, 5) Add 50% buffer for cross-team dependencies. I also started 'estimation reviews' where I'd ask a senior engineer to challenge my assumptions before committing. I shared my checklist and the GDPR case study with my team.

Result: My next 5 projects all delivered within 15% of estimates. The estimation checklist was adopted by our entire product area and reduced re-estimation rate by 45%. I now lead estimation workshops for new engineers joining Facebook, using GDPR as the canonical example of 'what can go wrong.'"
failure,team_failure,"A team you led, managed, or were a key member of failed to deliver, meet quality standards, or achieve goals. Requires reflecting on your role in the outcome.","The feature my team shipped had 3x the bug rate of other teams. Customers complained and we spent weeks firefighting instead of building new things.","Tell me about a time your team failed to deliver.","Situation: My team of 6 committed to rebuilding Messenger's notification system in one quarter. After 3 months, we'd only completed 40%. Morale was low, we'd accumulated significant technical debt rushing to show progress, and team members were starting to blame each other for the delays.

Task: As the tech lead, I needed to acknowledge my role in the failure, get us back on track, and rebuild team cohesion.

Action: I called a team offsite - no laptops, just discussion. I started by owning that as tech lead, the failure was mine first. I'd let us commit to an unrealistic scope without pushing back. We mapped what went wrong together: I found we had no clear definition of 'done' for each component, people were working on different assumptions, and I hadn't caught the coordination problems early. We agreed to reset: pick the 3 most critical components, define explicit acceptance criteria, and ship those in 6 weeks. I implemented daily 15-minute syncs and weekly demos so everyone could see progress.

Result: We shipped the 3 core components in 6 weeks. Team morale recovered as people saw tangible progress. Full system completed 2 months later (5 months total vs original 3-month estimate). Notification delivery latency improved 40%. The 'definition of done' practice became standard on our team. I now require explicit scope and acceptance criteria before any project kickoff."
failure,lost_trust,"Your actions or decisions damaged trust with a stakeholder, manager, teammate, or customer. Requires rebuilding credibility through consistent behavior.","I overpromised to the VP about what we could deliver in Q4. When we fell short, he stopped trusting my estimates and started micromanaging the team.","Tell me about a time you lost someone's trust.","Situation: I promised my director I'd flag any risks to our Ads measurement launch early. Then I didn't tell her about a critical blocker for 3 weeks because I thought I could solve it myself. When the launch slipped, she discovered I'd known about the risk. She removed me from the project update meetings and started requiring daily written status reports.

Task: I needed to rebuild her trust through consistent actions, not just apologies.

Action: I apologized specifically - not 'sorry for the miscommunication' but 'I broke my commitment to flag risks early, and that's on me.' I asked what I could do to rebuild trust. She said she needed full visibility into blockers and progress. I proposed daily Slack updates with: yesterday's progress, today's focus, and any blockers (even small ones). I committed to 90 days with no exceptions. I also proactively flagged 3 minor risks in the next two weeks that turned out to be nothing - better to over-communicate while rebuilding trust.

Result: After 60 days of consistent updates, she invited me back to project update meetings. After 90 days, she said the updates were so useful she asked other tech leads to adopt them. We've worked together on 5 more launches with no trust issues. She later sponsored my promotion, citing 'exceptional transparency and reliability.' I learned that transparency is a daily practice, not a one-time commitment."
failure,hiring_mistake,"Made a poor hiring decision or failed to address a bad hire quickly enough. Impact on team productivity, morale, or culture.","I hired an engineer who interviewed well but couldn't deliver independently. I waited too long to address it, and the team had to carry their workload for 6 months.","Tell me about a hiring mistake you made.","Situation: I hired a senior engineer for Instagram's Ads team based on exceptional technical interview performance. Within 3 months, it was clear he couldn't collaborate - he'd rewrite teammates' code without discussion, skip code reviews, and argue dismissively with junior engineers. One engineer asked to transfer teams, and others were avoiding working with him.

Task: I needed to address the situation fairly while protecting the team, and learn from my hiring mistake.

Action: First, I gave him direct, specific feedback with examples: 'In yesterday's code review, you rewrote Sarah's caching implementation without discussing why. She had good reasons for her approach, and rewriting without discussion made her feel her contribution wasn't valued.' I set clear expectations with a 30-day improvement plan focused on specific behaviors. He improved slightly but the core pattern remained. I involved HR and my manager, documented everything, and made the decision to part ways. For myself, I analyzed why I'd missed this: I'd focused entirely on technical signals. I proposed adding behavioral interview questions to our loop and making 'collaboration signal' a required debrief discussion.

Result: Team morale recovered within a month. The engineer I'd worried about losing decided to stay. Our revised interview process has helped us explicitly reject 3 technically strong candidates who showed similar collaboration red flags. I now weight collaboration signals equal to technical skills and always include team lunch or pairing session in senior interviews."
ownership,proactive_improvement,"Identified and fixed a problem, improved a process, or enhanced a system without being asked to do so.","Noticed our deploy pipeline was slow and error-prone. No one asked me to fix it, but I spent 20% time over a month to improve it, cutting deploy time by 60%.","Tell me about a time you took initiative.","Situation: I noticed Instagram's iOS build took 45 minutes, and engineers were complaining but it wasn't on any roadmap. We did 15+ builds per engineer per day during active development. Quick math: 45 minutes x 15 builds x 100 engineers = 1,125 engineer-hours lost daily to waiting.

Task: Nobody asked me to fix this - it was 'just how things were.' But I saw an opportunity to recover massive engineering productivity.

Action: I spent three evenings profiling the build to understand bottlenecks. Found 60% of time was spent on unchanged modules being recompiled. I wrote a proposal showing the productivity math and asked my manager for 2 weeks to build a proof of concept for incremental builds. I scoped it tightly: cache and skip unchanged modules. I involved the iOS platform team to make sure my solution wouldn't conflict with their roadmap. I documented everything so it wouldn't become a black box.

Result: Build time dropped from 45 minutes to 12 minutes. Over 6 months, we recovered an estimated 50,000+ engineering hours. The solution was adopted by Facebook and WhatsApp iOS teams. My manager nominated this for a Meta-wide engineering excellence award, which it won. I was asked to lead a broader 'developer productivity' initiative based on this work."
ownership,end_to_end_delivery,"Took full ownership of a feature or project from initial conception through production and monitoring.","Owned entire search feature end-to-end: wrote the design doc, got stakeholder alignment, built it, wrote tests, deployed, set up monitoring, and oncall.","Tell me about a time you owned something end-to-end.","Situation: Meta decided to launch Instagram Shopping in Brazil - our first expansion to South America. This touched payments (new processors, currency), tax compliance (nota fiscal requirements), seller onboarding (Portuguese localization), and logistics integrations. No one wanted to own it because it crossed 6 teams.

Task: I volunteered to own the entire Brazil launch end-to-end, even though it was far outside my team's normal scope.

Action: I mapped every system that needed changes - 18 services across 8 teams. I created a master project tracker with each team's deliverables, dependencies, and deadlines. I scheduled weekly syncs with each team lead and escalated blockers within 24 hours. I did the unglamorous work myself: wrote the tax calculation logic, created Portuguese seller help content, and built the nota fiscal integration when that team was overloaded. When legal had questions about Brazilian consumer protection requirements, I was the single technical point of contact. I also set up the Brazil-specific monitoring dashboards and oncall runbooks.

Result: Launched Instagram Shopping Brazil on schedule - the only international launch that quarter to hit its date. 50,000 sellers onboarded in the first month, $10M GMV in first quarter. Zero compliance issues in 18 months. The project framework I created became Meta's template for new market launches. I was promoted to senior with this project cited as primary evidence of operating at staff level scope."
ownership,taking_responsibility,"Took accountability when something went wrong rather than blaming circumstances or others.","My change caused a production incident. I immediately owned it in the incident channel, led the fix, wrote the postmortem, and implemented prevention measures.","Tell me about a time you took responsibility for a failure.","Situation: A feature I'd code reviewed and approved caused a bug that sent duplicate notifications to 5 million Facebook users - some received 20+ copies of the same notification. The junior engineer who wrote the code was panicking. The bug was actually in edge case handling that I should have caught in review.

Task: I needed to own the situation, fix it quickly, and make sure the junior engineer didn't lose confidence.

Action: I immediately posted in the incident channel: 'I approved this code review and missed the edge case - this is on me.' I led the incident response: identified all affected users, built the deduplication query, and wrote the user apology notification. I didn't let the junior engineer take any blame publicly. Privately, I walked through the bug with her as a learning opportunity, showing her what I should have caught and how to test for it. I then proposed adding automated tests for notification edge cases and a checklist for notification code reviews.

Result: Duplicate notifications stopped within 2 hours. We received minimal user complaints because of proactive communication. The junior engineer's confidence was preserved - she's now a strong senior engineer who mentors others on notification systems. The notification test suite I proposed has caught 6 similar bugs before production. My manager said my handling demonstrated 'senior engineering leadership in crisis.'"
ownership,going_beyond_scope,"Contributed beyond your formal job responsibilities to help the team or company succeed.","As an engineer, I noticed we didn't have clear product specs. Started writing them myself, conducting user interviews, and helping PM prioritize based on customer pain.","Tell me about a time you went beyond your job description.","Situation: A critical API powering WhatsApp Business was failing intermittently during peak hours. It was owned by another team whose tech lead was on paternity leave. Their remaining engineers were underwater with other fires, and the API failures were causing business customers to miss messages - directly impacting WhatsApp's B2B revenue.

Task: It wasn't my team's responsibility, but I had context on that codebase from a previous project and saw a chance to help.

Action: I asked my manager for 3 days to investigate. I found the root cause: a connection pool exhaustion issue that only manifested when traffic exceeded 10K requests/second - which happened during business hours in Asian markets. I wrote a detailed bug report with the fix, offered to implement it myself, and submitted the PR. I also added monitoring that would alert at 8K requests/second so the team would have warning. I documented everything so their team could maintain it without me.

Result: Fixed the bug that had been causing issues for 4 weeks. Business customer complaints dropped 90% immediately. When the tech lead returned from leave, he had a clean handoff document and monitoring in place. My manager mentioned this in my perf review as an example of 'Meta-level ownership.' The WhatsApp Business team now invites me to their design reviews, and we help each other regularly."
ownership,long_term_thinking,"Made decisions or investments that prioritized long-term health over short-term speed or convenience.","Pushed for a refactor that would slow us down for a sprint but prevent increasing tech debt. Team resisted at first but it paid off in velocity 3 months later.","Tell me about a time you prioritized long-term over short-term.","Situation: We had pressure to ship Reels' duet feature fast using TikTok's exact UX patterns - 2 weeks to copy their approach. Building a more flexible system that could support future collaborative video formats (stitch, remix, react) would take 6 weeks. My manager was pushing for the quick option to hit a quarterly goal.

Task: I believed the 2-week solution would require complete rebuilds for each future format, but I needed to make the case with data.

Action: I analyzed our product roadmap and found 3 more collaborative formats planned for the next year. I modeled both scenarios: quick approach would mean 2 weeks now + 4 weeks each for the next 3 formats = 14 weeks total. Flexible system would mean 6 weeks now + 1 week each for future formats = 9 weeks total, plus easier A/B testing. I proposed a hybrid: build the flexible foundation but only implement duet initially to hit quarterly goal (4 weeks). I committed to having stitch ready within 2 weeks of duet launch to prove the extensibility.

Result: Shipped duet in 4 weeks, hitting quarterly goal. Stitch shipped 2 weeks later - the PM had originally estimated 6 weeks for stitch alone. React format shipped in 1 week. The flexible architecture saved an estimated 8 engineering weeks over the year and enabled faster experimentation. My manager said this was a good example of 'yes, and' thinking - meeting short-term commitments while protecting long-term velocity."
ownership,customer_focus,"Made decisions with customer impact as the primary consideration, even when it meant more work or internal pushback.","PM wanted to deprioritize accessibility features. I advocated for keeping them, showing data on impacted users. Extra work but right thing for customers.","Tell me about a time you advocated for customers.","Situation: Our product team wanted to remove Facebook's 'Download Your Data' feature from the settings menu because only 2% of users used it and it was expensive to maintain. I noticed that 2% represented 40 million people, and the feature was essential for users trying to leave abusive relationships, journalists protecting sources, and people in countries with government surveillance.

Task: I needed to advocate for keeping the feature by connecting our internal efficiency goals to real customer impact.

Action: I pulled usage data segmented by region and use case. Found that usage spiked 300% in countries during political crises, and support tickets showed the feature was literally helping people escape dangerous situations. I talked to our Trust & Safety team who confirmed this data. I presented to the product team with specific user stories (anonymized) showing the human impact. I also proposed a middle ground: move the feature deeper in settings (reducing maintenance surface) rather than removing it entirely, and add better rate limiting to reduce infrastructure costs.

Result: Product team kept the feature with the modified placement. One month later, usage spiked during political unrest in Myanmar - we helped tens of thousands of users export their data before potential government crackdowns. The user story research became part of our 'customer impact review' for any deprecation decision. I was invited to join the Privacy team's advisory group based on this work."
ownership,accountability,"Held yourself or your team accountable to commitments, quality standards, or goals you set.","Committed to weekly releases to improve feedback cycles. Made it happen for 6 months straight, even when it was hard. Team learned to scope work appropriately.","Tell me about how you hold yourself accountable.","Situation: I set a team OKR to reduce Instagram Feed's p99 latency from 800ms to 200ms. At end of quarter, we were at 400ms. I had been overconfident in my technical approach and hadn't course-corrected when early results showed we were off track.

Task: I needed to own the miss transparently and understand what I should have done differently.

Action: In our quarterly review, I didn't blame external factors like the iOS 15 launch that added complexity. I presented: 'We missed the target. Here's what I got wrong.' I'd focused on one optimization approach (caching) for 8 weeks before realizing it had diminishing returns - I should have run parallel experiments earlier. I also hadn't set monthly checkpoints; we discovered we were off track too late to pivot. I proposed a new approach for next quarter: weekly progress check-ins against a latency curve, 3 parallel optimization tracks, and kill criteria for any track not showing results by week 4.

Result: Next quarter we hit 180ms - exceeding the original goal. The weekly checkpoint practice was adopted by 4 other teams in the org. My director appreciated the accountability: 'Anyone can own success; owning failures and fixing the process is what builds trust.' I now set explicit monthly milestones for all OKRs with 'are we on track?' reviews."
